Inclinometer Kelag KQS901-51Q
Time [ns],rho [mm],phi [mm],z [mm],Along X [mDegree],Along X StdDev [mDegree],Along Y [mDegree],Along Y StdDev [mDegree]
616086415567172,341.993,179.995,250,38.8187,2.32895,-38.6629,2.68745
616089435568790,341.993,200,250,38.3207,9.24109,-37.0743,3.67097
616092455567049,341.993,219.995,250,36.2494,7.90285,-35.3902,3.32145
616095475567659,341.993,240,250,33.3891,2.57629,-33.0548,2.36107
616098495569241,341.993,259.995,250,31.2594,7.18604,-30.1375,4.54205
616101515568315,341.993,280,250,28.3121,5.69762,-27.6109,3.00562
616104535568049,341.993,299.995,250,25.3453,5.07946,-25.0175,2.74779
616107555568767,341.993,320,250,23.1323,3.44067,-22.9921,2.6863
616110575566353,341.993,339.995,250,22.4228,2.78901,-22.5553,2.32023
616113595569183,341.993,360,250,23.7052,2.37259,-23.5404,1.67102
616139275567115,393.995,0,250,25.0525,1.98258,-26.1875,1.60373
616142295567413,393.995,19.9953,250,27.8662,6.21264,-27.2533,2.19022
616145315568791,393.995,40,250,29.7086,2.67354,-29.3309,2.003
616148335566089,393.995,59.9953,250,32.2192,2.73547,-31.5974,2.55519
616151355566135,393.995,80,250,34.7387,7.12335,-33.8612,2.93107
616154375567921,393.995,99.9953,250,37.2958,10.7363,-36.0874,5.43511
616157395568519,393.995,120,250,38.5688,9.47707,-37.9747,3.29067
616160415567761,393.995,139.995,250,40.5571,11.7156,-39.5111,4.0705
616163435566067,393.995,160,250,39.7873,14.5493,-40.0503,4.26786
616166455567889,393.995,179.995,250,38.5432,14.4544,-39.8471,3.46184
616169475568583,393.995,200,250,38.1115,12.3364,-38.2424,4.14819
616172495567897,393.995,219.995,250,36.084,19.426,-36.1644,6.17037
616175515567427,393.995,240,250,34.9512,3.61149,-34.2252,3.06844
616178535566609,393.995,259.995,250,32.3064,4.15972,-31.5867,2.64408
616181555567183,393.995,280,250,29.2734,11.109,-29.038,3.25036
