Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1223289420522427,0,0,0,282.571,0.039917,71.3576,0.0493927,-116.739,0.0543703
1223293424524293,0,0,0,282.589,0.0613354,71.3671,0.0487793,-116.69,0.0590524
1223297428523231,0,0,0,282.531,0.0359698,71.3296,0.0501383,-116.716,0.067727
1223301430522416,0,0,0,282.569,0.0493813,71.3324,0.0492326,-116.708,0.0529445
1223305434522698,0,0,0,282.61,0.0422795,71.3772,0.051443,-116.698,0.0523851
1223309438523376,0,0,0,282.564,0.0475709,71.3842,0.0593984,-116.653,0.0605126
1223313442522758,0,0,0,282.615,0.0387837,71.3467,0.0461507,-116.707,0.049486
1223317446522440,0,0,0,282.529,0.0479475,71.2927,0.0538391,-116.686,0.0449907
1223321448522357,0,0,0,283.051,0.0759261,71.409,0.039201,-116.756,0.0462761
1223325452522879,0,0,0,283.174,0.0376184,71.4066,0.0438207,-116.796,0.0507379
1223329456522441,0,0,0,283.173,0.0448122,71.4075,0.0484068,-116.765,0.0484664
1223333458521170,0,0,0,283.193,0.040835,71.5016,0.0426605,-116.768,0.0595305
1223337460523991,0,0,0,283.184,0.0442525,71.4513,0.0651125,-116.769,0.0761896
1223341462521268,0,0,0,283.108,0.0407097,71.5048,0.0499164,-116.779,0.0562816
1223345466523386,0,0,0,283.149,0.035565,71.4911,0.0505458,-116.759,0.051873
1223349470523872,0,0,0,283.124,0.0376597,71.4463,0.0429008,-116.768,0.0510033
1223353474521333,0,0,0,283.168,0.0409094,71.4537,0.0455816,-116.734,0.0506667
1223357478522395,0,0,0,283.132,0.0429736,71.4469,0.0552066,-116.759,0.0473807
1223361482524129,0,0,0,283.269,0.0473484,71.4629,0.0442185,-116.801,0.0522726
1223365484524274,0,0,0,283.296,0.048725,71.4274,0.0486518,-116.868,0.04856
1223369486523723,0,0,0,283.283,0.0355409,71.382,0.0486061,-116.778,0.060118
1223373490521497,0,0,0,283.254,0.0425172,71.4022,0.0531896,-116.789,0.0579086
1223377494523543,0,0,0,283.259,0.039356,71.337,0.0532551,-116.821,0.0427674
1223381498524353,0,0,0,283.285,0.0405529,71.4178,0.0586287,-116.841,0.0544759
1223385502522055,0,0,0,283.267,0.0490622,71.4435,0.0368718,-116.903,0.0534779
1223389506523333,0,0,0,283.256,0.0396754,71.4454,0.0423434,-116.811,0.0446887
1223393510522379,0,0,0,283.24,0.0378446,71.4119,0.049184,-116.855,0.0711257
1223397514521677,0,0,0,283.261,0.0376535,71.3631,0.0577456,-116.793,0.0519517
1223401518522511,0,0,0,283.26,0.0386469,71.4516,0.0447077,-116.76,0.0504205
1223405522524149,0,0,0,283.214,0.0445963,71.465,0.0393885,-116.789,0.0528308
1223409526522631,0,0,0,283.207,0.0381531,71.3602,0.0438474,-116.809,0.0517601
1223413530523177,0,0,0,283.229,0.0338818,71.4354,0.0625116,-116.814,0.0534147
1223417534523878,0,0,0,283.303,0.0320585,71.4683,0.0403001,-116.786,0.0538815
